Childe Hassam	1910  740.0,505.0
Childe Hassam	1889  546.0,460.0
Childe Hassam	1899  460.0,527.0
Chinese Painter	1800  584.0,445.0
Chinese Painter	1800  578.0,413.0
Chinese Painter	1900  121.0,162.0
Chinese Painter	1845  635.0,889.0
Chiskok	2000  178.0,1321.0
Christian Ernst Morgenstern	1833  400.0,585.0
Christian Richter	1618  127.0,151.0
Christoph Murer	1615  200.0,257.0
Christoph Nathe	1806  237.0,189.0
Christophe Hüet	1756  
Christopher Dresser	1888  405.0,279.0
Christopher Dresser	1888  411.0,305.0
Cigoli (Ludovico Cardi)	1613  239.0,143.0
Cigoli (Ludovico Cardi)	1613  430.0,290.0
Ciro Ferri	1689  373.0,166.0
Clara Louise Roscoe	1894  1626.0,1727.0
Claude François	1685  417.0,315.0
Claude Gillot	1722  219.0,337.0
Claude I Sené	1755  933.0,667.0
Claude Lorrain (Claude Gellée)	1674  247.0,382.0
Claude Lorrain (Claude Gellée)	1674  238.0,321.0
Claude Monet	1866  219.0,425.0
Claude Simpol	1705  227.0,305.0
Clayton S. Price	1949  921.0,1067.0
Clodion (Claude Michel)	1785 39.7 
Colin Campbell Cooper	1909  838.0,1137.0
Colin Campbell Cooper	1937  552.0,762.0
Colin Nouailher	1546 22.2 
Colin Nouailher	1546  
Company of Stationers	1640  121.0,89.0
Conrad Meyer	1649  401.0,241.0
Constantin Guys	1892  246.0,349.0
Cornelis Pronk	1745 27.9 
Cornelis Pronk	1742  105.0,495.0
Cornelis Schut	1655  450.0,360.0
Cornelis Troost	1744  292.0,314.0
Correggio (Antonio Allegri)	1530  95.0,172.0
Correggio (Antonio Allegri)	1522  291.0,197.0
Cosimo Ulivelli	1704  416.0,257.0
Crescenzio Onofri	1999  
Crispijn de Passe the Younger	1625  298.0,394.0
Céline Laguarde	1909  80.0,30.0
César-Isidore-Henry Cros	1907  318.0,197.0
Dai Xi	1848  311.0,194.0
Daijn	2000 109.2 
Daniel Chester French	1894  457.0,610.0
Daniel Garber	1927  711.0,762.0
Daniel Huntington	1862  1270.0,1016.0
Daniel Huntington	1879  749.0,622.0
Daniel Huntington	1875  1105.0,851.0
Daniel Huntington	1871  1099.0,949.0
Daniel Huntington	1858  2134.0,1683.0
Daniel Huntington	1860  1419.0,1118.0
Daniel Huntington	1878  768.0,635.0
Daniel Huntington	1871  762.0,635.0
Daniel Huntington	1861  302.0,254.0
Daniel Huntington	1892  1378.0,1118.0
Daniel Marot the Elder	1725  2829.0,610.0
Daniel Seiter	1705  195.0,272.0
Daniele Crespi	1629  310.0,210.0
Dao Hong	1644  127.0,171.0
David Claypoole Johnston	1850  219.0,324.0
David Cox	1855  479.0,727.0
David Gilmour Blythe	1865  546.0,673.0
David Gilmour Blythe	1864  610.0,851.0
David Johnson	1884  584.0,940.0
David Johnson	1856  481.0,711.0
David Johnson	1886  495.0,610.0
David Johnson Kennedy	1881  235.0,381.0
De Witt McClellan Lockman	1950  1270.0,1016.0
Delli brothers	1445  403.0,304.0
Demar	2000 65.4 
Dennis Miller Bunker	1890  610.0,530.0
Dewitt Parshall	1912  1137.0,1267.0
Diego Lopez de Escuriaz	1589  402.0,243.0
Diego de Pesquera	1568  
Diego de Tiedra	1565  
Dietrich Mayer	1649  
Dirck Hals	1656  283.0,153.0
Dirck Vellert	1525 24.8 
Doccia Porcelain Manufactory	1755  
Domenico Fetti	1623  349.0,246.0
Domenico Mondo	1806  282.0,173.0
Domenico Tintoretto	1635  237.0,406.0
Domingos António de Sequeira	1837  386.0,233.0
Dominik Kindermann	1817  459.0,290.0
Donatello	1790  451.0,797.0
Donatello	1499  762.0,521.0
Dong Qichang	1636  321.0,232.0
Dora Wheeler	1888  254.0,187.0
Doris Ulmann	1918  80.0,10.0
Dorothy Marshall Hornblower	1905  498.0,324.0
Dorothy Marshall Hornblower	1905  381.0,254.0
Douglas Volk	1914  753.0,565.0
Dudley Hardy	1895  286.0,171.0
Dudley Hardy	1895  305.0,254.0
Duncan Phyfe	1825  743.0,914.0
Dutch Painter	1800  168.0,146.0
Duyuman	1965  1467.0,438.0
Dwight William Tryon	1890  613.0,587.0
Dwight William Tryon	1890  514.0,800.0
Dwight William Tryon	1894  518.0,921.0
Dwight William Tryon	1887  356.0,559.0
E. Howell	1870  162.0,233.0
E. Prieur	1899  343.0,660.0
Eanger Irving Couse	1901  660.0,813.0
Eastman Johnson	1891  267.0,222.0
Eastman Johnson	1871  1219.0,1864.0
Eastman Johnson	1880  679.0,562.0
Eastman Johnson	1869  610.0,356.0
Eastman Johnson	1864  762.0,635.0
Eastman Johnson	1875  702.0,1384.0
Eastman Johnson	1876  527.0,686.0
Eastman Johnson	1906  230.0,210.0
Eastman Johnson	1882  1372.0,1016.0
Eastman Johnson	1881  1537.0,1988.0
Edgar Degas	1884  391.0,298.0
Edgar Degas	1894  264.0,264.0
Edgar Degas	1873  327.0,183.0
Edgar Degas	1885  489.0,318.0
Edgar Degas	1871  217.0,260.0
Edgar Degas	1874  238.0,205.0
Edgar Degas	1889  308.0,248.0
Edgar Degas	1858  292.0,225.0
Edgar Degas	1888  710.0,379.0
Edgar Degas	1869  480.0,300.0
Edgar Degas	1895  321.0,257.0
Edgar Degas	1892  254.0,340.0
Edgar Degas	1889  321.0,248.0
Edgar Gilstrap Simpson	1899  89.0,127.0
Edgar Gilstrap Simpson	1900  89.0,127.0
Edgar Melville Ward	1898  605.0,533.0
Edmund C. Coates	1860  457.0,610.0
Edmund C. Coates	1866  597.0,857.0
Edmund Charles Tarbell	1899  635.0,765.0
Edmund Charles Tarbell	1925  638.0,538.0
Edmund Henry Garrett	1929  352.0,254.0
Edna M. Walker	1910  406.0,296.0
Edouard Moreau	1865  
Edouard Moreau	1880  
Eduard Jakob von Steinle	1886  455.0,372.0
Eduard Josef Wimmer	1961  202.0,185.0
Edward Duncan	1868  450.0,610.0
Edward Gay	1887  1219.0,1810.0
Edward Hicks	1832  454.0,606.0
Edward Hicks	1825  800.0,965.0
Edward Lamson Henry	1869  356.0,445.0
Edward Lamson Henry	1875  254.0,216.0
Edward Lamson Henry	1869  457.0,356.0
Edward Lamson Henry	1900  425.0,616.0
Edward Lamson Henry	1867  406.0,778.0
Edward Lear	1837  557.0,375.0
Edward Martin Taber	1895  610.0,762.0
