A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
Alexander Calder	1928  40.0,139.0
Alexander Dobkin	1952  444.0,338.0
Alexander Kanoldt	1927  366.0,512.0
Alexander Kanoldt	1934  525.0,399.0
Alexander Kanoldt	1934  525.0,398.0
Alexander Liberman	1962  710.0,540.0
Alexander Liberman	1962  540.0,709.0
Alexander Liberman	1961  504.0,689.0
Alexander Liberman	1973  985.0,694.0
Alexander Liberman	1961  538.0,690.0
Alexander Liberman	1961  304.0,508.0
Alexander Liberman	1962  711.0,538.0
Alexander Liberman	1962  707.0,540.0
Alexander Liberman	1977  1090.0,757.0
Alexander Liberman	1963  1524.0,1524.0
Alexander Liberman	1961  693.0,535.0
Alexander Liberman Andrei Voznesensky	1977  1040.0,695.0
Alexander Semenovitch Shenderov	1960  639.0,464.0
Alexander Semenovitch Vedernikov	1960  623.0,457.0
Alexander and Susan Maris	2009  470.0,315.0
Alexandra Exter	1916  357.0,267.0
Alexandra Exter	1917  270.0,203.0
Alexandra Exter	1922  303.0,216.0
Alexandra Exter	1922  218.0,150.0
Alexandra Exter	1921  228.0,156.0
Alexandra Nikolaevna Jacobson	1963  449.0,349.0
Alexandre Lunois	1895  351.0,238.0
Alexei Jawlensky	1922  499.0,400.0
Alexei Jawlensky	1922  498.0,398.0
Alexei Jawlensky	1920  537.0,425.0
Alexei Jawlensky	1922  497.0,399.0
Alfred Dargis	1950  461.0,359.0
Alfred Hrdlicka	1966  1066.0,756.0
Alfred Hrdlicka	1973  630.0,912.0
Alfred Jarry	1895  44.0,29.0
Alfred Jarry	1897  360.0,263.0
Alfred Jarry	1898  305.0,223.0
Alfred Jarry	1898  289.0,226.0
Alfred Jarry	1895  28.0,19.0
Alfred Jarry	1898  310.0,256.0
Alfred Jarry Pierre Bonnard	2016  248.0,325.0
Alfred Kubin	1937  298.0,217.0
Alfred Kubin	1947  423.0,303.0
Alfred Kubin	1902  216.0,222.0
Alfred Kubin	1937 a29.8 ) 
Alfred Kubin	1918  452.0,361.0
Alfred Kubin	1932  502.0,378.0
Alfred Kubin	1903  200.0,321.0
Alfred Kubin	1919  275.0,217.0
Alfred Kubin	1937  224.0,11.0
Alfred Kubin	1920  243.0,323.0
Alfred Le Petit	1515  280.0,190.0
Alfred Leslie	1960  444.0,357.0
Alfred Leslie	1960  452.0,364.0
Alfred Leslie	1967  304.0,455.0
Alfred Leslie	1967  354.0,278.0
Alfred Lombard	1930  290.0,225.0
Alfred Manessier	1954  652.0,500.0
Alfred Manessier	1952  568.0,383.0
Alfred Manessier	1952  58.0,67.0
Alfred Manessier	1950  569.0,383.0
Alfred Manessier	1956  210.0,213.0
Alfred Pohl	1967  495.0,651.0
Alfred Reth	1962  298.0,240.0
Alfred Roth Le Corbusier (Charles-Édouard Jeanneret)	1927  152.0,905.0
Alfredo Guerrero	1973  703.0,499.0
Alfredo Guido	1932  756.0,565.0
Alfredo Guido	1941  753.0,541.0
Alfredo Guido	1941  429.0,333.0
Alfredo Jaar	2002  1829.0,3658.0
Alfredo Jaar	1994  1750.0,1185.0
Alfredo Zalce	1942  229.0,430.0
Alfredo Zalce	1948  495.0,650.0
Alfredo Zalce	1945  325.0,501.0
Alfredo Zalce	1941  225.0,350.0
Alfredo Zalce	1947  291.0,465.0
Alfredo Zalce	1940  470.0,650.0
Alfredo Zalce	1941  175.0,127.0
Alfredo Zalce	1942  321.0,483.0
Alfredo Zalce	1973  560.0,766.0
Alfredo Zalce	1940  414.0,498.0
Alfredo da Silva	1964  361.0,390.0
Alice Adams	1997  322.0,247.0
Alice Aycock	1994  860.0,1116.0
Alice Aycock	1981  722.0,978.0
Alice Hutchins	1969  120.0,100.0
Alice Hutchins	1980  75.0,67.0
Alice Rahon	1944  230.0,175.0
Alice Trumbull Mason	1947  546.0,386.0
Alice Trumbull Mason	1937  304.0,235.0
Alice Trumbull Mason	1952  312.0,205.0
Alicia Orlandi	1966  547.0,733.0
Alicia Orlandi	1962  516.0,345.0
Alicia Orlandi	1962  512.0,339.0
Alighiero Boetti	1967  1137.0,797.0
Alighiero Boetti	1973  400.0,302.0
Alighiero Boetti	1972  284.0,418.0
Alighiero Boetti	1993  206.0,272.0
Alina Szapocznikow	1965  475.0,312.0
Alina Szapocznikow	1961  642.0,479.0
Alirio Palacios	1972  762.0,560.0
Alison Knowles	1968  493.0,583.0
Alison Knowles	1968  532.0,660.0
Alison Knowles	1968  490.0,587.0
